LAT;LONG;FULL_NAME_RG
11.583333;-11.083333;Foughanni
11.583333;-11.083333;Fougani
11.25;-10.866667;Fouga
8.616667;-7.9;Fouasso
8.616667;-7.9;Foukassou
8.679444;-9.6975;Doromaï
8.986667;-10.453889;Dorokoro
9.366667;-8.55;Doréla
8.216389;-9.471389;Loupomai
8.216389;-9.471389;Dopamaï
8.216389;-9.471389;Loupoumaï
8.866667;-10.166667;Dooua
8.633333;-8.383333;Doo
11.666667;-10.783333;Donkoya
8.8;-8.016667;Byein
11.15;-12.716667;Brourouvé
11.033333;-12.4;Broual Larbé
9.133333;-10.3;Broadou
9.133333;-10.3;Brouadou
8.516667;-8.883333;Brahimadougou
9.8;-10.516667;Boyo
12.3;-13.466667;Boyéré Daboyni
12.083333;-13.05;Boyéré
8.74;-9.711111;Boyda
9.6;-8.15;Boya
9.166667;-10.483333;Boya
10.966667;-13.566667;Bovés
9.183333;-10.416667;Mansoundou
9.183333;-10.416667;Mansandou
9.333333;-10.166667;Mansonian
10.316667;-10.5;Mansiramoribaya
10.316667;-10.5;Mansaramoribaya
10.316667;-10.5;Mansansamoribaya
10.316667;-10.5;Mansouramoribaya
10.316667;-10.5;Mansouramaribaya
9.416667;-8.733333;Manséïdougou
11.366667;-10.95;Mansarena
11;-10.616667;Mansaréna
9.116667;-10.333333;Mankorodou
9.9;-12.1;Diemma
9.9;-12.1;Diéma
11.316667;-10.716667;Diélekourou
11.133333;-11.916667;Diékounko
10.233333;-12.016667;Diégounko
7.348333;-8.954167;Diecke
7.348333;-8.954167;Dyeckhé
7.348333;-8.954167;Dyecké
7.348333;-8.954167;Liéké
7.348333;-8.954167;Diéké
7.348333;-8.954167;Dyéké
8.65;-9.066667;Diéboïdou
8.816667;-8.383333;Diebidougou
9.1;-9.566667;Didissa
11.133333;-10.433333;Didé
11.783333;-10.6;Dibia, Fello
7.916667;-8.083333;Sipilou, Forêt Classée de
8.668611;-9.183056;Borniadou
11.366667;-10.683333;Borire
9.966667;-12.816667;Borikouré
9.35;-10.7;Boria
9.35;-10.7;Bolia
8.918056;-10.4625;Bori
11.333333;-10.116667;Booulé
11.033333;-10.016667;Booulé
8.416667;-10.6;Bandama
8.633333;-10.166667;Bandakoro Lé
9.233333;-9.816667;Bandakoro
8.783333;-10.283333;Bandakoro
8.7025;-9.47;Macéni
8.658611;-10.063333;Maadou
8.694167;-10.375556;Maa
8.516667;-10.616667;Maa
8.465278;-10.493611;Maa
8.67;-9.49;Lozozia
8.67;-9.49;Lazozia
8.716667;-9.516667;Loya
8.416667;-8.85;Loya
9.366667;-10.4;Loya
11.583333;-11.9;Koubia
11.116667;-10.583333;Koubi
8.754167;-9.876667;Kotoua
11.566667;-10.883333;Kotomori
9.1;-9.133333;Kotoli
8.628333;-9.550278;Kotinguizia
8.766667;-8.966667;Kotidougou
11.35;-10.583333;Koténia
12.166667;-13.066667;Kifaya
11.65;-10.583333;Kifala, Pelloum
8.877222;-10.116389;Kiéto
8.870556;-10.141667;Kiéssané
8.751111;-10.0625;Kiéssané
8.566667;-9.983333;Kiéssa
8.866667;-10.1;Kiekama
8.6;-8.45;Kiéfendougou
9.216667;-10.333333;Kidamaya
9.614722;-13.608611;Simbaya
9.933333;-12.6;Simbareya
10.5;-13.083333;Simbaléa
9.95;-12.183333;Siéroumba
10.533333;-7.816667;Siéba
8.25;-8.25;Poi
9.033333;-10.083333;Pobenguo
8.665833;-10.173056;Poa
9.503056;-13.805556;Plate, Pointe
11.2;-10.433333;Pitika Lankon
11.233333;-10.616667;Pitika
12.033333;-10.033333;Balinko
11.983333;-10.433333;Balindji, Fello
11.3;-11.65;Balima
8.4;-9.483333;Baliguiè
9.25;-10.483333;Baléya
10.95;-11.05;Konsondougou
10;-10.033333;Konso
10.283333;-14.2;Konsensiné
10.283333;-14.2;Kosensine
11.633333;-10.816667;Guissouma
10.866667;-12.016667;Guissouma
11.1;-10.583333;Guisouma
9.116667;-10.316667;Guirawadou
9.116667;-10.316667;Guilbadou
8.5;-9;Fôret
8.5;-9;Forest Region
8.5;-9;Guinée Forestière
8.994444;-9.848889;Guilouadou
11.633333;-14.366667;Guiléyi
11.633333;-14.366667;Dilegui, Rio
11.633333;-14.366667;Guilege, Rio
11.633333;-14.366667;Dilegui
9.316667;-10.466667;Sérékoro
9.216667;-10.55;Sérékoro
11.683333;-10.55;Séré Eferbé
9.5;-10.683333;Sérédoukoro
8.382222;-9.299722;Sérédou
9.266667;-9.533333;Sérakoro
9.2;-10.633333;Sarafinia
9.2;-10.633333;Serafinian
9.2;-10.633333;Sarifinian
9.2;-10.633333;Sarafinian
8.283333;-8.933333;Paramani
11.6;-10.85;Paramangui
11.116667;-13.866667;Paragogo
11.116667;-13.866667;Parakogon
11.433333;-10.683333;Paradji
11.183333;-11.316667;Paradie
11.616667;-10.733333;Papa, Bowal
8.621389;-9.857222;Panziazou
8.545833;-9.706944;Panziazou
12.083333;-13.616667;Pano
12.433333;-13.2;Panini
7.516667;-9.2;Pango Ya
8.783333;-8.966667;Pandédougou
7.448056;-9.101944;Pampolé
11.033333;-13.216667;Pamgué
11.533333;-10.983333;Naniakali
10.5;-14.133333;Linlin
9.383333;-8.816667;Linko
9.383333;-8.816667;Lélinko
10.283333;-14.016667;Coumbouya
10.283333;-14.016667;Goumbouya
9.462222;-13.743333;Goulu, Île du
9.462222;-13.743333;Sharks Nose
9.462222;-13.743333;Goulu, îlot du
9.462222;-13.743333;Gulu, Île du
9.933333;-11.116667;Gouloukoboya
11.016667;-10.75;Gouliati
8.69;-9.0725;Famorodou
9.416667;-13.316667;Famoréya
9.416667;-13.316667;Famoréah
8.966667;-8.866667;Famorédougou
8.656389;-9.02;Famoéla
8.656389;-9.02;Famoïla
11.916667;-10.466667;Famméré
11.4;-10.433333;Faméré
9.65;-10.55;Famania
12.583333;-13.266667;Famani
8.466667;-9.716667;Dazaraguézia
11.366667;-10.9;Dayabé
11.383333;-10.9;Davia
11.383333;-10.9;Diavia
10.866667;-11.033333;Dar Salam
9.966667;-12.333333;Dar es Salam
9.966667;-12.333333;Dar Salam
11.166667;-11.383333;Darou Salam
11.666667;-10.5;Darou
11.5;-10.783333;Daringo
10.666667;-10.883333;Dar es Salème
10.583333;-11.883333;Dar es Salam
8.838889;-9.573889;Darazou
10.1;-12.283333;Daranéné
10.033333;-10.466667;Morissiria
8.116667;-8.2;Morissimandougou
8.883333;-8.183333;Morimandougou
8.383333;-8.3;Morigouédougou
8.6;-8.85;Morigbadougou
9.516667;-13.333333;Morifinya
9.516667;-13.333333;Morifinia
8.666667;-8.366667;Morifindougou
8.65;-8.283333;Morifadougou
10.733333;-10.55;Moribéya
8.666667;-8.4;Moribadougou
8.416667;-8.65;Moribadougou
9.183333;-10.233333;Sangouanian
8.883333;-10.033333;Sangbaouali
8.75;-8.366667;Sangbandougou
10.9;-14.65;Sangban
10.633333;-12.85;Sangaréya
10.633333;-12.85;Sangaréa
10.65;-9.783333;Sanguarella
10.65;-9.783333;Sangarella
11.1;-13.766667;Sangaredyi
11.1;-13.766667;Sangarédi
9.4;-10.216667;Sankaredou
9.4;-10.216667;Sangardo
11.716667;-10.966667;Sangaranmadia
7.616667;-9.366667;Sangaou Ya
