LAT;LONG;FULL_NAME_ND_RO;;;;;;;;;;;;;;;;;;;;;;;;;;
14.233333;-16.8;Keur Satiako;;;;;;;;;;;;;;;;;;;;;;;;;;
14.666667;-15.95;Keur Sao;;;;;;;;;;;;;;;;;;;;;;;;;;
15.15;-16.466667;Keur Sandoua;;;;;;;;;;;;;;;;;;;;;;;;;;
13.883333;-15.683333;Kassasse;;;;;;;;;;;;;;;;;;;;;;;;;;
13.883333;-15.683333;Kassas;;;;;;;;;;;;;;;;;;;;;;;;;;
12.833333;-14.966667;Sare Amadi;;;;;;;;;;;;;;;;;;;;;;;;;;
12.766667;-15.083333;Sare Amadi;;;;;;;;;;;;;;;;;;;;;;;;;;
13.35;-15.383333;Sare Aljou;;;;;;;;;;;;;;;;;;;;;;;;;;
13.716667;-14.216667;Sare All;;;;;;;;;;;;;;;;;;;;;;;;;;
13.716667;-14.216667;Sare Ali;;;;;;;;;;;;;;;;;;;;;;;;;;
12.783333;-14.866667;Sare Alfa;;;;;;;;;;;;;;;;;;;;;;;;;;
12.883333;-14.116667;Sare Aedara;;;;;;;;;;;;;;;;;;;;;;;;;;
12.783333;-14.483333;Sare Abdoulaye;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.2;Sarangaba;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-14.016667;Sara Koli;;;;;;;;;;;;;;;;;;;;;;;;;;
13.016667;-14.25;Sara Dari;;;;;;;;;;;;;;;;;;;;;;;;;;
13.7;-14.2;Sara Dadi;;;;;;;;;;;;;;;;;;;;;;;;;;
14.95;-15.883333;Bennguene;;;;;;;;;;;;;;;;;;;;;;;;;;
12.955833;-16.561944;Kabiline;;;;;;;;;;;;;;;;;;;;;;;;;;
12.916667;-14.116667;Kabindou;;;;;;;;;;;;;;;;;;;;;;;;;;
12.916667;-14.116667;Kabendou;;;;;;;;;;;;;;;;;;;;;;;;;;
12.916667;-14.116667;Kabandou;;;;;;;;;;;;;;;;;;;;;;;;;;
12.823333;-16.405278;Kabaline;;;;;;;;;;;;;;;;;;;;;;;;;;
13.783333;-15.65;Kabakoto;;;;;;;;;;;;;;;;;;;;;;;;;;
13.783333;-15.65;Kabacoto;;;;;;;;;;;;;;;;;;;;;;;;;;
13.783333;-15.65;Kabacolo;;;;;;;;;;;;;;;;;;;;;;;;;;
13.033333;-16.716667;Cabadion;;;;;;;;;;;;;;;;;;;;;;;;;;
13.033333;-16.716667;Kabadio;;;;;;;;;;;;;;;;;;;;;;;;;;
13.033333;-16.716667;Cabadio;;;;;;;;;;;;;;;;;;;;;;;;;;
14.733333;-16.616667;Kaba;;;;;;;;;;;;;;;;;;;;;;;;;;
14.166667;-16.833333;Joal-Fadiout;;;;;;;;;;;;;;;;;;;;;;;;;;
14.166667;-16.833333;Fadiouth;;;;;;;;;;;;;;;;;;;;;;;;;;
14.166667;-16.833333;Fadiout;;;;;;;;;;;;;;;;;;;;;;;;;;
14.166667;-16.833333;Joal;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-16.866667;Joal Patches;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-16.866667;Bancs de Joal;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-16.866667;Banc de Joal;;;;;;;;;;;;;;;;;;;;;;;;;;
13.016667;-14.016667;Jevel;;;;;;;;;;;;;;;;;;;;;;;;;;
12.65;-13.766667;Rio Jalajauel;;;;;;;;;;;;;;;;;;;;;;;;;;
12.65;-13.766667;Rio Jalajauel;;;;;;;;;;;;;;;;;;;;;;;;;;
12.65;-13.766667;Rio Jalajanel;;;;;;;;;;;;;;;;;;;;;;;;;;
13.773889;-16.691944;Pointe Jackonsa;;;;;;;;;;;;;;;;;;;;;;;;;;
13.773889;-16.691944;Jokonsa Point;;;;;;;;;;;;;;;;;;;;;;;;;;
16.440833;-15.025833;Ivirgo;;;;;;;;;;;;;;;;;;;;;;;;;;
12.6;-16.7;Pointe Itou;;;;;;;;;;;;;;;;;;;;;;;;;;
14.85;-15.9;Nianka;;;;;;;;;;;;;;;;;;;;;;;;;;
14.3;-16.916667;Foret Classee de Nianing;;;;;;;;;;;;;;;;;;;;;;;;;;
13.65;-15.2;Nianimarou Bolon;;;;;;;;;;;;;;;;;;;;;;;;;;
13.65;-15.2;West Nianija Creek;;;;;;;;;;;;;;;;;;;;;;;;;;
