LAT;LONG;FULL_NAME_RO
9.716667;1.083333;Laoubo
7.4;1.4;Ferme de Tchouboupoué
6.433333;.933333;Préfecture de l’ Avé
9.433333;1.083333;Kiaguia
10.966667;.433333;Noumanannga
10.966667;.433333;Noumananga
7.4;1.1;Gboamou
10.966667;.45;Tanbiarékou
10.966667;.45;Tanbianékou
7.483333;.766667;Gbadi Atakpamé
8.083333;1.416667;Agbodrafo
10.816667;.266667;Boundjouaré
10.816667;.266667;Boundjouaro
10.6;.166667;Daho
10.116667;.95;Mont Tintioungou
6.65;.766667;Kpévé
10.716667;.366667;Biégou
7.45;.533333;Mangbé
7.433333;1.2;Agbokoro
6.95;.55;Dométo
9.7;1.25;Kparassa
7.933333;1.55;Adjoékpa
9.183333;1.166667;Fododoouboua
6.3;1.666667;Safénou
6.633333;1.066667;Agadja
6.633333;1.066667;Agadia
6.866667;1.35;Kpota
7.55;1.133333;Doufio
7.483333;1.4;Agbaré
6.5;.966667;Késo
6.5;.966667;Késso
6.55;1.033333;Batékpo
6.55;1.033333;Balékpo
7.283333;1.583333;Sedjikoé
10.7;.65;Yagou
9.633333;1.15;Mont Tcha
8.733333;1.55;Blango
8.05;1.3;Atioukoufe
6.483333;1.55;Amavi Kopé
10.866667;.366667;Naloaté
9.616667;1.05;Gnadré
7.45;.666667;Mont Tomito
7.6;1.4;Alalé
8.85;1.216667;Niaolo
8.85;1.216667;Kotonmboua
8.85;1.216667;Kotomboua
6.583333;1.35;Essé Nadjin
6.583333;1.35;Esé Nadjè
6.583333;1.35;Essé Nadjé
9.6;.716667;Tikakan
10.75;.283333;Kintik
6.516667;1.05;Dafoléamé
6.516667;1.05;Dafolényamé
9.6;.55;Kouboabo
7.1;1.633333;Aboundji
7.5;1.2;Digbaré
10.933333;-.016667;Paladi
6.516667;1.583333;Didomé
7.25;.8;Agotévi
9.333333;1.05;Mont Dedjaé
9.333333;1.05;Mont Deddiaé
6.466667;.833333;Agoromé
6.466667;.833333;Agodomé
6.816667;.733333;Dzogbépimé
6.4;1.583333;Zoumé
10.183333;.866667;Njan
10.183333;.866667;Goubani
10.183333;.866667;Gorua
10.183333;.866667;Dubuni
10.183333;.866667;Duboni
10.183333;.866667;Kerou
10.183333;.866667;Kéran
10.183333;.866667;Kara
10.183333;.866667;Karan
10.183333;.866667;Kjeró
10.183333;.866667;Kub?
6.616667;.833333;Bémé
6.55;1.183333;Lilikové
6.55;1.183333;Lili Kopé
9.6;.883333;Takoundou
6.433333;.95;Vakbo
6.433333;.95;Vakpo
8.7;.983333;Kétgebona
8.7;.983333;Kédjéboua
8.266667;1.016667;Oranyi
8.266667;1.016667;Ouregui
8.016667;1.133333;Baté
9.933333;1.083333;Atétou
6.466667;1.616667;Dévémé
9.116667;1.05;Bouzaloda
7.466667;1.4;Akparé
7.616667;1.133333;Kofélakou
9.033333;1.15;Pangalan
9.4;1.116667;Kolanda
9.566667;.983333;Massif de Pam
6.35;1.6;Agoumé
6.35;1.6;Kouma
9.55;1;Agoadédanoré
10.916667;.65;Banboli
10.7;.166667;Nadjok
9.916667;1;Anima
10.2;.666667;Yawéni
10.2;.666667;Yanone
10.2;.666667;Sayota
7.05;1.3;Ahonéssipé
7.283333;.8;Mont Tobadia
8.066667;1.266667;Kpéssi
8.066667;1.266667;Pessi
8.066667;1.266667;Kpédji
10.666667;.15;Djapaké
9.9;.933333;Warté
9.9;.933333;Ouardé
9.9;.933333;Uarde
10.616667;.3;Gabouang
9.6;.8;Nièmpénou
6.516667;1.216667;Afaté
10.683333;.316667;Touangou
7.616667;1.2;Kpouédji
9.866667;1.15;Tambélao
8.033333;1.466667;Ogouala
7.383333;1.2;Aoukoukopé
9.566667;1.316667;Mont Boulé
6.45;1.583333;Ologwé
7.5;1.133333;Agbofon
