LAT;LONG;NAME
10.921136;3.599307;KANA
10.870519;3.71451;KANKARI
10.86166;3.553544;KANKUEYE
10.86166;3.553544;KANKOUEYE
10.86166;3.553544;KANKOUE
10.86166;3.553544;KANKOUEY
10.86166;3.553544;BOBENA
10.929558;3.549846;KAMMBOURA
10.929558;3.549846;KANMBOURA
10.929558;3.549846;KAMBOURA
10.957808;3.644916;KANSOU
10.66962;3.812892;KAPANA
10.669338;3.351438;KARAHI
10.809091;3.127786;KARIKABARA
10.809091;3.127786;KARIKABANA
10.809091;3.127786;KARIBABARA
10.809091;3.127786;KARIKABARE
10.162669;3.17503;POULAGOYEKIRE
10.455778;3.383102;TOUASSINA
10.859194;3.676091;TOUNBOU
10.859194;3.676091;TOUMBOU
10.97925;3.278608;VIONNA
10.653929;3.405393;WAFINA
10.653929;3.405393;OUAFINA
10.822985;3.626014;WAMI
10.822985;3.626014;OUAMI
10.194942;3.375167;WAMOTI
10.194942;3.375167;OUAMOTI
10.771341;3.233231;WANA
10.771341;3.233231;OUANA
10.852697;3.19661;WANA
10.852697;3.19661;OUANA
10.952697;3.244145;WARANA
10.952697;3.244145;OUARANA
10.427016;3.258193;WEABARA
10.427016;3.258193;OUEABARA
10.549152;3.291515;WENA
10.549152;3.291515;OUENA
10.342518;3.191515;WENAGOUROU
10.342518;3.191515;OUENAGOUROU
10.40324;3.286264;YAKA
10.12593;3.503074;YAKONA
10.20162;3.322761;YAMOUSSAKPAROU
10.568364;3.33611;YAPOUANA
10.515279;3.364122;YAPOUNO
10.395372;3.307097;YENBAKO
10.395372;3.307097;YEMBAKO
10.977453;3.639369;DINA
10.300848;3.214125;DJEGA
10.712327;3.20208;DOGUERE
10.036723;3.428403;DONBARAKOU
10.036723;3.428403;DOMBARAKOU
10.057268;3.360247;DONKARAOUYE
10.057268;3.360247;DONKARAOUY
10.718266;3.132068;DOUGOULAYE
10.777786;3.626785;DOUTEMI
10.355188;3.14435;DUNCASSA
10.355188;3.14435;DUNKASSA
10.416744;3.085182;FETE
10.681149;3.65449;FORA
10.812738;3.555701;FOWA
10.795455;3.550925;FOWEYE
10.795455;3.550925;FOWEY
10.266874;3.112684;GANBOU
10.266874;3.112684;GAMBOU
10.284258;3.185413;GANDO
10.207781;3.228095;GANDOMATCHORE
10.432024;3.786289;GANDOTIAKA
10.432024;3.786289;GANUCHAKA
10.191141;3.263483;GANOUERERE
10.276189;3.497094;SOUATINE
10.276189;3.497094;SOUATIN
10.390869;3.073509;SOLINA
10.85181;3.429117;SOKOTINJI
10.85181;3.429117;SOKOTINDJI
10.85181;3.429117;SOKOTENDJI
10.85181;3.429117;SOCOTINDJI
10.211452;3.103266;KASSAOGO
10.940748;3.000385;KASSOBENI
10.728326;3.564895;KATIN
10.752466;3.317643;KEFOUNA
10.009657;3.579044;KENA
10.009657;3.579044;GONA
10.43549;3.545455;KERINSOA
10.926631;3.491268;KEYA
10.145686;3.157037;KIBI
10.249847;3.302697;KIDANOUKPEROU
10.249847;3.302697;KIDAROUPEROU
10.30077;3.318362;KIDARUPERU
10.30077;3.318362;KIDAROUPEROU
10.915065;3.673771;KIENA
10.061506;3.275552;KIETAREKOKA
10.70678;3.191141;KIKONAN
10.893683;3.694762;KINDASSALE
10.69168;3.044222;KINKANSOUARA
